,pl_name,hostname,hostname_omit_binary_signature,sy_pnum,sy_vmag,circularization_timescale,circularization_timescaleerr1,circularization_timescaleerr2,st_age,st_ageerr1,st_ageerr2,tau_age_diff,tau_age_differr1,tau_age_differr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_met,st_meterr1,st_meterr2,pl_mass_combinej,pl_mass_combinejerr1,pl_mass_combinejerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_dens,pl_denserr1,pl_denserr2,lambda,lambdaerr1,lambdaerr2,mass_ratio,mass_ratioerr1,mass_ratioerr2
235,TOI-3693 b,TOI-3693,TOI-3693,1.0,11.948,11.592762999977463,11.308873484546659,6.01201731938893,3.0,3.8,2.1,3.0298817632581083,7.092726734094564,1.9775179224389128,0.0,0.048,0.052,0.0,0.867,0.036,0.037,5321.0,86.0,82.0,0.791,0.017,0.014,0.071,0.079,0.076,1.02,0.24,0.22,1.02,0.24,0.22,1.1239473613951,0.029,0.023,9.088516,2.6e-05,2.7e-05,0.0813,0.0011,0.0012,22.13,0.3,0.47,0.7182923449618647,0.22,0.2,,,,0.001123284586250244,0.00026838613746308086,0.0002469739867445041
236,TOI-4791 b,TOI-4791,TOI-4791,1.0,11.541,1.4058892591650642,1.3408803673951963,0.7188838880996077,3.3,1.8,1.4,0.4406421523277807,0.7839516468193067,0.2632914351024096,0.152,,,1.0,1.242,0.072,0.077,6058.0,99.0,94.0,1.409,0.039,0.038,0.207,0.085,0.089,2.31,0.32,0.33,2.31,0.32,0.33,1.1099480170218,0.05,0.05,4.28088,2.2e-05,2.3e-05,0.0555,0.0011,0.0012,8.46,0.27,0.26,1.689052090805195,0.46,0.4,,,,0.0017758206804366781,0.00026667295042252434,0.00027654816126654444
237,NGTS-5 b,NGTS-5,NGTS-5,1.0,13.789,0.028150548305541184,0.026594242670994837,0.014739088619370526,13.8,,,,,,0.0,,,0.0,0.661,0.068,0.061,4987.0,41.0,41.0,0.739,0.014,0.012,0.12,0.1,0.1,0.229,0.037,0.037,0.229,0.037,0.037,1.1359487550399998,0.023,0.023,3.3569866,2.6e-06,2.6e-06,0.0382,0.0013,0.0013,11.111,0.315,0.296,0.1562069987371162,,,,,,0.000330782669763404,6.335906706614086e-05,6.154863975599232e-05
238,WASP-33 b,WASP-33,WASP-33,1.0,8.14,0.000625263151164749,0.0005901589664187944,0.0003160648296588939,0.1,0.4,0.09,0.002282928939853322,0.0051495518382991,0.0013870397056835,0.0,,,0.0,1.56,0.04,0.08,7430.0,100.0,100.0,1.444,0.034,0.034,,,,2.093,0.139,0.139,2.093,0.139,0.139,1.59292813977,0.074,0.074,1.21987,1e-06,1e-06,0.0239,0.00063,0.00063,3.69,0.05,0.1,0.5177521379943119,0.074,0.074,112.9,0.2,0.2,0.001281012463569549,9.119509541545518e-05,0.00010748589617798292
239,HATS-34 b,HATS-34,HATS-34,1.0,13.857,0.006177959010975965,0.009415804642848833,0.0036416265444828197,7.7,2.7,2.7,0.0008511354772580745,0.0015653430365363,0.0005623165327498,0.108,,,1.0,0.955,0.031,0.031,5380.0,73.0,73.0,0.98,0.047,0.047,0.25,0.07,0.07,0.941,0.072,0.072,0.941,0.072,0.072,1.4299354927,0.19,0.19,2.1061607,4.7e-06,4.7e-06,0.03166,0.00034,0.00034,6.96,0.34,0.34,0.3217966443552047,0.19,0.13,,,,0.000940794949018071,7.819440520431668e-05,7.819440520431668e-05
240,WASP-110 b,WASP-110,WASP-110,1.0,12.762,,,,13.8,,,,,,0.0,,,0.0,,,,5400.0,140.0,140.0,,,,-0.06,0.1,0.1,0.51,0.064,0.064,0.51,0.064,0.064,1.2379420225931,0.056,0.056,3.77840121,8.2e-07,8.2e-07,,,,11.07,0.18,0.17,0.268786988857955,,,,,,,,
241,TOI-2669 b,TOI-2669,TOI-2669,1.0,10.916,,,,5.9,3.0,3.0,,,,0.09,0.05,0.05,0.0,1.19,0.16,0.16,4800.0,100.0,100.0,4.1,0.04,0.04,0.1,0.06,0.06,0.61,0.19,0.19,0.61,0.19,0.19,1.7599175759363,0.16,0.16,6.2034,0.0001,0.0001,,,,,,,0.1118901436889556,,,,,,0.0004894311411518921,0.00016604253544480973,0.00016604253544480973
242,TOI-2337 b,TOI-2337,TOI-2337,1.0,12.524,,,,4.9,1.8,1.8,,,,0.019,0.017,0.017,0.0,1.325,0.118,0.118,4780.0,100.0,100.0,3.22,0.062,0.062,0.39,0.06,0.06,1.6,0.15,0.15,1.6,0.15,0.15,0.8999578514223,0.1,0.1,2.99432,8e-05,8e-05,,,,,,,2.194787379972565,,,,,,0.0011529562545662883,0.0001490846052248227,0.0001490846052248227
243,OGLE-TR-132 b,OGLE-TR-132,OGLE-TR-132,1.0,16.536,0.02482928858986378,0.05014555730460148,0.018038092761969323,1.2,1.5,1.1,0.01840555879449179,0.0668478214009588,0.0143305575750162,0.6,,,1.0,1.305,0.075,0.067,6210.0,75.0,75.0,1.32,0.17,0.12,0.37,0.1,0.1,2.7,3.4,1.5,2.7,3.4,1.5,1.1998745,0.15,0.11,1.689868,,,0.03035,0.00057,0.00053,4.76,0.57,0.3,1.5625000000000002,0.32,0.26,,,,0.0019754315137504295,0.002490169784274389,0.0011021383210800147
244,Kepler-1514 b,Kepler-1514,Kepler-1514,2.0,11.766,79719427.46535248,69212210.86469606,38472905.11209636,2.9,1.6,1.3,28741399.830887802,47465924.60773498,16245708.38256862,0.401,0.013,0.014,0.0,1.196,0.065,0.063,6145.0,99.0,80.0,1.289,0.027,0.026,0.119,0.08,0.075,5.28,0.22,0.22,5.28,0.22,0.22,1.10795001812,0.023,0.023,217.83184,0.00012,0.00012,0.753,0.013,0.014,125.6,2.2,2.2,3.881634519126412,0.26,0.25,,,,0.004215134801915632,0.000288661261200909,0.0002830998380788129
245,CoRoT-30 b,CoRoT-30,CoRoT-30,1.0,15.571,63.11051250402977,60.62794614301764,33.8790384238129,3.0,3.7,2.4,17.380079809403377,38.19329247315473,10.892325000981028,0.007,0.031,0.031,0.0,0.98,0.03,0.05,5650.0,100.0,100.0,0.91,0.09,0.03,0.02,0.1,0.1,2.9,0.22,0.22,2.9,0.22,0.22,1.00895448401,0.076,0.076,9.06005,0.00024,0.00024,0.0844,0.0012,0.0012,21.0,1.4,1.4,2.823088540850076,0.65,0.65,,,,0.0028254045970478076,0.00023113403666712891,0.00025830651060647244
246,CoRoT-29 b,CoRoT-29,CoRoT-29,1.0,15.408,0.1897745433408073,0.6445333988375499,0.14819942270239422,4.5,3.5,3.5,0.045618055284360165,0.2231771501645908,0.036533304364671,0.12,,,1.0,0.97,0.14,0.14,5260.0,100.0,100.0,0.9,0.12,0.12,0.2,0.1,0.1,0.84,0.13,0.12,0.84,0.13,0.12,0.899959401,0.16,0.16,2.85057,6e-06,6e-06,0.0386,0.0059,0.0059,9.22,0.19,0.19,1.1522633744855966,0.74,0.74,,,,0.0008268300975079117,0.00017497249959697237,0.00016790816941723204
