,pl_name,hostname,hostname_omit_binary_signature,sy_pnum,sy_vmag,circularization_timescale,circularization_timescaleerr1,circularization_timescaleerr2,st_age,st_ageerr1,st_ageerr2,tau_age_diff,tau_age_differr1,tau_age_differr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_met,st_meterr1,st_meterr2,pl_mass_combinej,pl_mass_combinejerr1,pl_mass_combinejerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_dens,pl_denserr1,pl_denserr2,lambda,lambdaerr1,lambdaerr2,mass_ratio,mass_ratioerr1,mass_ratioerr2
0,K2-29 b,K2-29,K2-29,1.0,12.532,0.08049785880050081,0.06545976696057235,0.038810033851885174,2.6,1.2,2.35,0.02820533868481758,0.0522463614081337,0.0171318865837807,0.066,0.022,0.022,0.0,0.94,0.02,0.02,5358.0,38.0,38.0,0.86,0.01,0.01,0.16,0.03,0.03,0.73,0.04,0.04,0.73,0.04,0.04,1.1899463191,0.02,0.02,3.2588321,1.9e-06,1.9e-06,0.04217,0.00024,0.00024,10.54,0.14,0.14,0.4331935443480407,0.04,0.04,1.5,8.7,8.7,0.0007414873252854005,4.358490633938083e-05,4.358490633938083e-05
1,WASP-29 b,WASP-29,WASP-29,1.0,11.331,0.5000132323636057,1.1158645139617245,0.3438175930595077,14.0,0.0,7.0,0.03912172370821668,0.1237975170619321,0.0268785879504683,0.059,,,1.0,0.77,0.25,0.25,4800.0,150.0,150.0,0.79,0.07,0.07,0.11,,,0.245,0.023,0.022,0.245,0.023,0.022,0.7699652652999999,0.07,0.07,3.92273,4e-06,4e-06,0.04476702185172,0.0047060146468069,0.0047060146468069,12.18,0.69,0.69,0.5366534292154127,,,,,,0.0003037974221904069,0.00010267591597318774,0.00010233842335675637
2,TOI-4994 b,TOI-4994,TOI-4994,1.0,12.652,1064.5474509390037,1000.6191426238229,540.653817397397,6.3,4.2,3.8,171.56509157503768,279.17311443960915,99.22061672716652,0.319,0.048,0.047,0.0,1.005,0.064,0.061,5640.0,110.0,110.0,1.055,0.04,0.037,0.165,0.083,0.084,0.28,0.037,0.034,0.28,0.037,0.034,0.7619643139009,0.03,0.027,21.491984,2.3e-05,2.3e-05,0.1515,0.0032,0.0031,30.9,1.4,1.4,0.6328388276490756,0.16,0.14,,,,0.0002660116731617494,3.90204578279043e-05,3.611196905848894e-05
3,NGTS-25 b,NGTS-25,NGTS-25,1.0,14.333,0.08948874368673912,0.10198553209388359,0.049099640653120405,3.49,3.49,3.37,0.02386728945892551,0.0530213318254086,0.016042762260689,0.0,,,0.0,0.91,0.03,0.04,5321.0,58.0,58.0,0.86,0.02,0.05,0.12,0.05,0.05,0.639,0.058,0.052,0.639,0.058,0.052,1.0229520914646,0.035,0.052,2.823093,3.3e-06,3.3e-06,0.0388,0.0014,0.002,9.78,0.12,0.16,0.5968620373492223,,,,,,0.0006704527725514506,6.474450143170858e-05,6.201008463738793e-05
4,Kepler-289 c,Kepler-289,Kepler-289,4.0,14.142,1072496.205378537,914215.74272614,515682.2327319806,0.65,0.44,0.44,1646786.9754924127,2956708.794200904,954280.921070052,0.0,,,0.0,1.08,0.02,0.02,5990.0,38.0,38.0,1.0,0.02,0.02,0.05,0.04,0.04,0.49,0.02,0.02,0.49,0.02,0.02,1.0018283,0.01873498,0.01873498,125.8723,0.0035,0.0021,0.50688688977,0.0107166684030383,0.0107166684030383,108.95,0.75,0.75,0.4872537327426144,0.03,0.03,,,,0.0004331926205307654,1.9416058783167914e-05,1.9416058783167914e-05
5,NGTS-33 b,NGTS-33,NGTS-33,1.0,11.604,0.08678741171853174,0.08319004539907573,0.04668089191656334,0.03,0.02,0.02,2.9588284942126486,5.123936136141538,1.7240600557579484,0.0,,,0.0,1.6,0.11,0.11,7437.0,72.0,72.0,1.47,0.06,0.06,-0.11,0.17,0.17,3.63,0.27,0.27,3.63,0.27,0.27,1.6399231961035,0.07,0.07,2.827972,1e-06,1e-06,0.048,0.002,0.002,6.99,0.07,0.07,0.822953091220383,0.03,0.03,,,,0.002166184119296955,0.00021940538323642577,0.00021940538323642577
6,TOI-5344 b,TOI-5344,TOI-5344,1.0,15.402,0.20439620088683755,0.17447251603026145,0.10036651179852495,10.9,5.8,5.8,0.019151519254616965,0.0290360099774458,0.0111121195778932,0.054,,,1.0,0.612,0.034,0.034,3747.0,64.0,64.0,0.588,0.011,0.011,0.425,0.088,0.088,0.412,0.04,0.04,0.412,0.04,0.04,0.9459556969654,0.021,0.021,3.792622,6.2e-06,6.2e-06,0.04041,0.00075,0.00075,14.78,0.16,0.16,0.4866579325899764,0.063,0.063,,,,0.0006427684021320841,7.189926682104449e-05,7.189926682104449e-05
7,NGTS-15 b,NGTS-15,NGTS-15,1.0,14.669,0.14273187962003775,0.26747314119474896,0.09227389684442458,3.28,4.23,3.56,0.036630648171332034,0.1101384358274419,0.0259887458284113,0.102,0.061,0.068,0.0,0.995,0.025,0.025,5600.0,150.0,150.0,0.954,0.082,0.082,0.15,0.1,0.1,0.751,0.102,0.088,0.751,0.102,0.088,1.0999484850717,0.1,0.1,3.27623,1e-05,1e-05,0.0441,0.0046,0.0046,10.0,0.59,0.59,0.5642374154770847,0.11,0.1,,,,0.0007206519755103953,9.953889941896053e-05,8.6363364806205e-05
8,TOI-2368 b,TOI-2368,TOI-2368,1.0,12.486,1.395207759354949,1.4208206626995599,0.7518718057800375,4.2,5.1,3.0,0.2753491127096276,0.5887954071921185,0.1657163303019003,0.061,0.066,0.042,0.0,0.897,0.048,0.049,5360.0,230.0,170.0,0.846,0.031,0.026,0.1,0.18,0.15,0.65,0.18,0.18,0.65,0.18,0.18,0.9669547139714,0.036,0.031,5.1750073,1.6e-06,1.6e-06,0.05649,0.001,0.001,14.37,0.42,0.55,0.7188428119727182,0.27,0.26,,,,0.0006918781871831214,0.00019514141025187947,0.0001952892197166386
9,WASP-194 b,WASP-194,WASP-194,1.0,11.985,0.07330431926467396,0.09719528177767578,0.04219176792926467,0.75,0.55,0.55,0.09851714648955437,0.2065211434524143,0.0663341040907546,0.0,,,0.0,1.29,0.08,0.08,6405.0,200.0,200.0,1.409,0.09,0.09,0.0,0.25,0.25,1.174,0.265,0.265,1.174,0.265,0.265,1.3809353256435,0.088,0.088,3.183387,4e-07,5e-07,0.047,0.003,0.003,7.15,0.09,0.09,0.445745596173707,0.18,0.18,,,,0.0008689346423404019,0.00020340729204896925,0.00020340729204896925
10,OGLE-TR-211 b,OGLE-TR-211,OGLE-TR-211,1.0,15.364,0.07564774112573097,0.1325643746863333,0.04941874630397877,2.6,0.6,0.7,0.02989217223339559,0.0513837344699168,0.0194230851180166,0.58,,,1.0,1.33,0.05,0.05,6325.0,91.0,91.0,1.64,0.21,0.07,0.11,0.1,0.1,0.68,0.24,0.28,0.68,0.24,0.28,1.35991724,0.18,0.09,3.67724,3e-05,3e-05,0.051,0.001,0.001,,,,0.2703287197231834,,,,,,0.00048816427883657224,0.0001732679138291733,0.0002018448498000339
11,WASP-98 b,WASP-98,WASP-98,1.0,13.252,0.06675585813449669,0.06581454313303997,0.03312517150247102,2.7,6.8,2.7,0.012974627071968942,0.0292002935832974,0.0076786485913818,0.07,,,1.0,0.809,0.064,0.064,5473.0,121.0,121.0,0.741,0.021,0.021,-0.49,0.1,0.1,0.848,0.084,0.076,0.848,0.084,0.076,1.14394839416,0.034,0.034,2.96264036,4.3e-07,4.3e-07,0.03762,0.001,0.001,10.92,0.08,0.08,0.5663928716400721,0.062,0.062,,,,0.0010008201851287712,0.0001268738639744427,0.00011964139515648491
12,Kepler-30 c,Kepler-30,Kepler-30,3.0,15.726,100026.09407996292,254127.13500343292,75177.23523243301,2.0,0.8,0.8,54957.25269768266,156635.47369394748,40361.320353355,0.0111,0.001,0.001,0.0,0.99,0.08,0.08,5498.0,54.0,54.0,0.95,0.12,0.12,0.18,0.27,0.27,2.01,0.16,0.16,2.01,0.16,0.16,1.097283,0.036,0.036,60.323105,0.000244,0.000244,0.3,0.0535494699841233,0.0535494699841233,67.86,8.57,8.57,1.5225661656181435,0.17,0.17,4.0,10.0,10.0,0.0019385168844530726,0.00021988646447747417,0.00021988646447747417
13,TOI-677 b,TOI-677,TOI-677,1.0,9.822,38.14940511182431,34.9869760791218,18.869408154589056,2.92,0.8,0.73,13.332068216944753,14.39597405814776,7.051353342538909,0.46,0.019,0.018,0.0,1.16,0.03,0.03,6295.0,80.0,80.0,1.28,0.03,0.03,0.0,0.05,0.05,1.234,0.084,0.083,1.234,0.084,0.083,1.1699452069382,0.029,0.03,11.2365985,1.9e-06,1.9e-06,0.1041,0.0035,0.0034,15.9,1.6,1.3,0.7704732666380706,,,0.3,1.3,1.3,0.0010157010366533459,7.396193958736953e-05,7.3193087424546e-05
14,Kepler-15 b,Kepler-15,Kepler-15,1.0,13.81,1.3280065756067874,1.2921864262744807,0.7143860788541007,3.7,1.5,3.6,0.3202723769080381,0.7310310108958046,0.2066148735237833,0.068,,,1.0,1.018,0.044,0.052,5515.0,122.0,130.0,0.992,0.058,0.07,0.36,0.07,0.07,0.633,0.046,0.045,0.633,0.046,0.045,0.9598996,0.06,0.07,4.942782,1.3e-06,1.3e-06,0.05714,0.00086,0.00093,12.8,1.2,1.5,0.7154676649305557,0.18,0.22,,,,0.0005936967304832454,5.019826197624832e-05,5.197141773218234e-05
15,Kepler-418 b,Kepler-418,Kepler-418,2.0,14.824,144735.56957443076,535052.8117028121,121169.98567630551,7.0,3.0,4.0,22622.01926568408,112757.84115199302,19499.69643130961,0.2,0.11,0.11,0.0,0.98,0.08,0.08,5820.0,100.0,100.0,1.09,0.14,0.14,-0.05,0.1,0.1,1.1,,,1.1,,,1.1998745,0.16,0.16,86.67856,7e-05,7e-05,0.4280088693096,0.073063688458118,0.073063688458118,84.4,9.5,9.5,0.6365740740740742,,,,,,0.0010717051919836513,,
16,Kepler-447 b,Kepler-447,Kepler-447,1.0,12.52,1.2690757212877068,12.782485729505755,1.080268948068403,13.8,,,,,,0.123,0.037,0.036,0.0,1.0,0.21,0.21,5493.0,62.0,62.0,1.05,0.19,0.19,0.07,0.05,0.05,1.37,0.48,0.46,1.37,0.48,0.46,1.6494928999999998,0.59,0.56,7.79430132,1.82e-06,1.82e-06,0.0769,0.0062,0.0079,20.41,0.36,0.19,0.3049781562178257,0.94,0.32,,,,0.0013080649006884093,0.0005343178658902114,0.0005180318363872037
17,Kepler-7 b,Kepler-7,Kepler-7,1.0,13.008,0.06357193635262062,0.052907338765633596,0.029923028077713403,2.9,0.3,0.3,0.02186904875469166,0.0189090501441778,0.0107917236218462,0.026,,,1.0,1.359,0.031,0.031,5933.0,44.0,44.0,1.966,0.013,0.013,0.11,0.03,0.03,0.449,0.051,0.048,0.449,0.051,0.048,1.62192683158,0.013,0.013,4.8854892,9e-07,9e-07,0.06067,0.00059,0.00059,6.637,0.021,0.021,0.1052189082808154,0.02,0.02,,,,0.00031545368825784085,3.654644787360722e-05,3.4482495692917214e-05
18,TOI-1431 b,TOI-1431,TOI-1431,1.0,8.03,0.06846364728046056,0.06796977717470465,0.03545518789514617,0.29,0.32,0.19,0.2100768119579855,0.4721417718541375,0.1298664992454178,0.0022,0.003,0.0016,0.0,1.9,0.1,0.08,7690.0,400.0,250.0,1.92,0.07,0.07,0.09,0.03,0.03,3.12,0.18,0.18,3.12,0.18,0.18,1.4899302204204,0.05,0.05,2.650237,3e-06,3e-06,0.046,0.002,0.002,5.15,0.05,0.05,0.9431826185953897,0.18,0.16,,,,0.0015678688014398145,0.00012243926531446323,0.00011198201000760485
19,TOI-2567 b,TOI-2567,TOI-2567,1.0,12.3,0.9236591231844198,0.9502250567799928,0.48012693527490347,7.6,1.8,2.7,0.12917662041531866,0.1780147295824847,0.0714129041441913,0.0,0.048,0.052,0.0,1.13,0.13,0.059,5611.0,62.0,65.0,1.686,0.043,0.044,0.241,0.078,0.079,0.201,0.034,0.031,0.201,0.034,0.031,0.9749543388178,0.031,0.029,5.983944,1.3e-05,1.3e-05,0.0672,0.0024,0.0012,8.64,0.24,0.31,0.2168613766246902,0.052,0.051,,,,0.0001698346650981011,3.4742847965548094e-05,2.7653690715855735e-05
20,TOI-3071 b,TOI-3071,TOI-3071,1.0,12.383,0.010970521676906316,0.011097964813313984,0.005899399844969239,0.95,0.14,0.14,0.011586856457511407,0.01347189380987,0.006106021812584,0.09,,,1.0,1.29,0.02,0.02,6177.0,62.0,62.0,1.31,0.04,0.04,0.35,0.04,0.04,0.2145812,0.01101223,0.01101223,0.2145812,0.01101223,0.01101223,0.6387436,0.05085208,0.04549923,1.266938,2e-06,2e-06,0.0249,0.0001,0.0001,4.11,0.13,0.13,0.8232864674026936,0.26,0.22,,,,0.00015882200875210755,8.514512399833475e-06,8.514512399833475e-06
21,WASP-153 b,WASP-153,WASP-153,1.0,12.591,0.015914171137464017,0.01661814979885659,0.008298935866552525,4.0,0.8,0.8,0.003979295550302954,0.0043249924889037,0.0021707469231074,0.009,,,1.0,1.336,0.086,0.086,5914.0,64.0,64.0,1.73,0.1,0.09,0.34,0.11,0.11,0.39,0.02,0.02,0.39,0.02,0.02,1.5499300795,0.1,0.08,3.332609,2e-06,2e-06,0.048,0.001,0.001,6.0,0.3,0.2,0.1047296163270786,0.03,0.03,,,,0.0002787191918727215,2.2938957908708863e-05,2.2938957908708863e-05
22,TOI-172 b,TOI-172,TOI-172,1.0,11.299,198.78557440038725,179.73735275158833,98.37123084920557,7.4,1.6,1.5,27.167785663819746,26.820870219619152,13.772130176252094,0.3806,0.0093,0.009,0.0,1.128,0.065,0.061,5645.0,50.0,50.0,1.777,0.047,0.044,0.148,0.079,0.08,5.42,0.22,0.2,5.42,0.22,0.2,0.96495646885,0.032,0.029,9.47725,0.00064,0.00079,0.0914,0.0017,0.0017,11.09,0.28,0.3,6.031389095955145,0.65,0.72,,,,0.004587741213523825,0.0003233664278499767,0.00030035058607639234
23,Kepler-432 b,Kepler-432,Kepler-432,2.0,12.398,16089.856284794898,17376.113369591374,8602.524383837299,9.3,0.8,1.0,1732.1246519382335,1825.2106264184304,956.0003069400516,0.4775,0.0073,0.0073,0.0,1.32,0.1,0.07,5020.0,60.0,60.0,4.06,0.12,0.08,-0.07,0.1,0.1,0.575,0.025,0.023,0.575,0.025,0.023,1.14494834905,0.036,0.039,52.501129,6.7e-05,5.3e-05,0.301,0.016,0.011,15.94,0.97,0.66,0.3830463996594551,0.37,0.29,,,,0.00041591313752258085,3.6328933964800445e-05,2.7626818569339616e-05
24,TOI-1298 b,TOI-1298,TOI-1298,1.0,11.889,0.8240449671618417,0.7154000787114567,0.3999674254054782,4.3,1.7,0.6,0.2008889532705298,0.2590414743787959,0.105319148956061,0.032,0.034,0.023,0.0,1.2187,0.0246,0.0568,5752.0,69.0,99.0,1.4536,0.0275,0.0239,0.397,0.061,0.058,0.31148883,0.01887811,0.01887811,0.31148883,0.01887811,0.01887811,0.8615964541392999,0.01775064,0.01545166,4.537143,3e-06,3e-06,0.057,0.001,0.001,,,,0.4869336017787611,0.1,0.13,,,,0.0002440362774258671,1.558883102783708e-05,1.8657703272389527e-05
25,WASP-74 b,WASP-74,WASP-74,1.0,9.75,0.006198411467682002,0.008366640497467125,0.0037008532306488573,3.49,0.65,0.65,0.0018092144689668165,0.0025505436296426,0.0011149211804182,0.03,,,1.0,1.19,0.04,0.04,5984.0,57.0,57.0,1.42,0.1,0.1,0.39,,,0.944,0.061,0.059,0.944,0.061,0.059,1.3599386504,0.1,0.1,2.13775,1e-06,1e-06,0.03210764390712,0.0023189458897555,0.0023189458897555,4.82,0.09,0.09,0.3752798697333604,,,0.8,1.0,1.0,0.0007574147495858788,5.516888035129067e-05,5.375037788785852e-05
26,HAT-P-57 b,HAT-P-57,HAT-P-57,1.0,10.639,0.015884043474463035,0.14379752871235182,0.014252413209837517,13.8,,,,,,0.0,,,0.0,2.77,1.74,1.74,6330.0,124.0,124.0,1.85,0.39,0.39,-0.25,,,1.41,1.52,1.52,1.41,1.52,1.52,1.7399215086,0.36,0.36,2.4653,3e-06,3e-06,0.0500931724842,0.0105838411328793,0.0105838411328793,5.82,0.09,0.09,0.2676525391683865,,,,,,0.0004860132045562879,0.0006063875398094738,0.0006063875398094738
27,HAT-P-15 b,HAT-P-15,HAT-P-15,1.0,12.41,73.06228678294565,106.49943209477019,43.5678472490078,6.5,2.8,1.6,12.633099695225951,23.397976014619264,8.075209059603068,0.2,0.026,0.028,0.0,1.0,0.23,0.23,5568.0,90.0,90.0,1.07,0.07,0.07,0.22,,,1.949,0.08,0.078,1.949,0.08,0.078,1.0599521834,0.07,0.07,10.8635,2.7e-05,2.7e-05,0.0958293043785,0.0073449363447442,0.0073449363447442,19.25,0.77,0.77,1.6364179826299563,,,,,,0.001860889409811467,0.000434766976053436,0.00043443555236055275
28,WASP-32 b,WASP-32,WASP-32,1.0,11.257,0.21872189832191874,0.7003676495975539,0.17161661685238067,2.22,0.62,0.73,0.10337397959712907,0.3657983700294033,0.0813544164799781,0.004,,,1.0,1.1,0.03,0.03,6100.0,100.0,100.0,0.95,0.15,0.15,-0.13,,,3.49,0.12,0.11,3.49,0.12,0.11,0.9599566944,0.15,0.15,2.71866,2e-06,2e-06,0.0341212340484,0.0055424441000268,0.0055424441000268,7.63,0.35,0.35,3.944679542824075,,,10.5,6.4,6.5,0.0030292942955557718,0.00013294626557273773,0.00012626109352157532
29,TIC 257060897 b,TIC 257060897,TIC 257060897,1.0,11.814,0.049423257105230795,0.046689390769973874,0.025295837596538757,3.47,0.32,0.32,0.014301252043915006,0.0135412696153465,0.0071238857628816,0.03,0.02,0.02,0.0,1.32,0.04,0.04,,,,1.82,0.05,0.05,,,,0.67,0.03,0.03,0.67,0.03,0.03,1.4899302204204,0.04,0.04,3.660028,6e-06,6e-06,0.051,0.002,0.002,6.05,0.09,0.09,0.202542421300933,0.02,0.02,,,,0.0004846292211132682,2.6202152414519124e-05,2.6202152414519124e-05
30,TOI-1259 A b,TOI-1259 A,TOI-1259,1.0,12.079,0.11535932683474599,0.10711231967132186,0.05949393224777509,4.8,0.7,0.8,0.024497086934352444,0.0232027079666714,0.0126517341836577,0.03,0.034,0.022,0.0,0.744,0.064,0.059,4775.0,100.0,100.0,0.711,0.02,0.019,-0.5,0.5,0.5,0.441,0.049,0.047,0.441,0.049,0.047,1.0219521383588,0.03,0.027,3.477978,1.9e-06,1.7e-06,0.0407,0.00114,0.0011,12.314,0.036,0.056,0.4131292095571292,0.051,0.048,,,,0.0005659451977901936,7.952562841984464e-05,7.518150416392981e-05
31,TIC 46432937 b,TIC 46432937,TIC 46432937,1.0,14.268,0.007481297688612073,0.006108707459435371,0.0035924845287800804,7.4,5.1,5.1,0.0010015572983797238,0.001674837143751,0.0005760234483455,0.009,,,1.0,0.563,0.029,0.029,3572.0,57.0,57.0,0.5299,0.0091,0.0091,0.323,0.081,0.081,3.2,0.11,0.11,3.2,0.11,0.11,1.1879443637347,0.03,0.03,1.44044527,8.7e-08,8.7e-08,0.02065,0.00035,0.00035,8.381,0.056,0.056,1.9085373187562311,0.15,0.15,,,,0.005426881127177024,0.00033606799664457764,0.00033606799664457764
32,K2-30 b,K2-30,K2-30,1.0,13.547,0.33213598183901394,0.30786537032646843,0.16764507672704407,3.9,2.1,1.9,0.08944782872401937,0.1478139152167465,0.0493377963104671,0.027,0.036,0.02,0.0,0.9,0.043,0.042,5425.0,40.0,40.0,0.844,0.032,0.032,-0.15,0.05,0.05,0.579,0.028,0.027,0.579,0.028,0.027,1.03895313071,0.05,0.051,4.098503,1.1e-05,1.1e-05,0.04839,0.00076,0.00076,12.34,0.42,0.38,0.5162165465075772,0.098,0.08,,,,0.0006142494545811751,4.175691171896831e-05,4.0523395439700616e-05
33,HATS-67 b,HATS-67,HATS-67,1.0,13.698,0.001728798032758248,0.001435253375144613,0.0008301685602048486,0.51,0.24,0.24,0.0036138371906007678,0.0048328345329632,0.0019422542654529,0.057,,,1.0,1.435,0.021,0.021,6594.0,33.0,33.0,1.441,0.026,0.026,0.332,0.052,0.052,1.45,0.12,0.12,1.45,0.12,0.12,1.68492398965,0.047,0.047,1.6091788,4e-06,4e-06,0.03032,0.00015,0.00015,4.526,0.077,0.077,0.3030876822474724,0.047,0.047,,,,0.0009647723014309587,8.1081909039726e-05,8.1081909039726e-05
34,WASP-101 b,WASP-101,WASP-101,1.0,10.336,0.043449871588501755,0.06680544328495544,0.025710686198586637,1.14,0.7,0.65,0.040960877027725814,0.0885974432479567,0.026802004574802,0.068,,,1.0,1.41,0.3,0.3,6380.0,120.0,120.0,1.31,0.08,0.08,0.2,,,0.497,0.049,0.048,0.497,0.049,0.048,1.4299354927,0.09,0.09,3.58572,4e-06,4e-06,0.0515005454456999,0.0036363192576292,0.0036363192576292,8.45,0.3,0.3,0.1699606081238435,,,,,,0.00033654721522086216,7.891988871974903e-05,7.863758802797917e-05
35,WASP-82 b,WASP-82,WASP-82,1.0,10.073,0.017028072404455984,0.028200349891967114,0.010943271530809288,13.8,,,,,,0.06,,,1.0,1.48,0.37,0.37,6480.0,90.0,90.0,2.1,0.16,0.16,0.12,,,1.17,0.2,0.2,1.17,0.2,0.2,1.6199269218,0.13,0.13,2.70579,2e-06,2e-06,0.0432819525977999,0.0036070521655784,0.0036070521655784,4.43,0.15,0.15,0.2751951768869921,,,,,,0.0007548017033958566,0.000228594710999183,0.000228594710999183
36,WASP-138 b,WASP-138,WASP-138,1.0,11.796,0.3916725084011967,0.36130221302944954,0.19567350115129034,3.44,0.93,0.93,0.11627350518319034,0.1274529758805447,0.0623549828131998,0.0,,,0.0,1.22,0.05,0.05,6272.0,96.0,96.0,1.36,0.05,0.05,-0.09,0.1,0.1,1.22,0.08,0.08,1.22,0.08,0.08,1.0899508301,0.05,0.05,3.634433,5e-06,5e-06,0.0494,0.0007,0.0007,,,,0.9420638456744982,0.13,0.194,,,,0.0009547918983127075,7.383187503051305e-05,7.383187503051305e-05
37,WASP-151 b,WASP-151,WASP-151,1.0,12.821,0.1592084480022936,0.13548755339965246,0.0771097114555771,5.5,1.3,1.3,0.02982693728677912,0.0285763746108178,0.0147512348114614,0.003,,,1.0,1.081,0.049,0.049,,,,1.181,0.02,0.02,,,,0.316,0.031,0.031,0.316,0.031,0.031,1.1869444106289,0.021,0.021,4.5334775,2.3e-06,2.3e-06,0.055,0.00084,0.00084,,,,0.188944792025696,0.023872,0.023872,,,,0.0002791066048721698,3.0162272458007073e-05,3.0162272458007073e-05
38,K2-115 b,K2-115,K2-115,1.0,13.444,541.69558160938,518.0550183493258,277.66651263922864,2.2,3.5,1.6,163.44631478864164,422.4103565664208,112.15583366980351,0.063,0.061,0.042,0.0,0.918,0.039,0.046,5870.0,170.0,150.0,0.855,0.024,0.021,-0.198,0.043,0.049,1.01,0.22,0.23,1.01,0.22,0.23,1.0529506864228,0.03,0.028,20.2729914,5e-06,5e-06,0.1415,0.002,0.0024,35.62,0.91,1.1,0.8650401399137507,0.26,0.27,,,,0.0010504791038080986,0.00023312872190209613,0.0002449409272184948
39,TOI-2420 b,TOI-2420,TOI-2420,1.0,11.574,0.9041911963888585,1.3667148783181213,0.5481051036848197,5.3,1.6,1.6,0.18089175053407414,0.3313565424218825,0.1181364283132067,0.055,0.036,0.031,0.0,1.158,0.098,0.098,,,,2.369,0.124,0.124,,,,0.927,0.085,0.079,0.927,0.085,0.079,1.3399372456294,0.074,0.072,5.842641,1.5e-05,1.3e-05,0.0684,0.0067,0.0059,6.21,0.51,0.43,0.3852701296369566,0.099,0.08,,,,0.0007643282294783073,9.537191532020084e-05,9.179787308173799e-05
40,WASP-147 b,WASP-147,WASP-147,1.0,12.681,0.20051708084983247,0.30313897298982095,0.1197949543973159,8.47,0.78,0.78,0.023961595203154253,0.0370379656696637,0.0142437358737604,0.0,,,0.0,1.044,0.07,0.073,5702.0,100.0,100.0,1.429,0.14,0.076,0.092,0.069,0.071,0.275,0.028,0.027,0.275,0.028,0.027,1.11494970235,0.14,0.093,4.60273,2.7e-05,2.7e-05,0.0549,0.0012,0.0013,8.29,0.4,0.74,0.1983846619078995,0.081,0.08,,,,0.0002515016973524852,3.0661160762993355e-05,3.0315029486605113e-05
41,TOI-5027 b,TOI-5027,TOI-5027,1.0,11.566,97.03622565362485,113.32828383383065,53.07718765342619,0.4,0.6,0.3,181.99224120888522,462.2829376259496,116.84342148834614,0.385,0.025,0.026,0.0,1.02,0.05,0.05,5909.0,145.0,144.0,0.92,0.04,0.04,-0.15,0.03,0.03,2.02,0.13,0.13,2.02,0.13,0.13,0.9599550413387,0.05,0.06,10.24368,1e-05,1e-05,0.093,0.005,0.004,,,,2.283166956018519,0.58,0.62,,,,0.0018908623868545776,0.00015296916326565363,0.00015296916326565363
42,WASP-87 b,WASP-87,WASP-87,1.0,10.727,0.0075447695119277205,0.007246078379473622,0.0038294891826226233,3.8,0.8,0.8,0.0020275934556879573,0.002134091116794,0.0010916926990163,0.0,,,0.0,1.2,0.09,0.09,6450.0,120.0,120.0,1.627,0.062,0.062,,,,2.18,0.15,0.15,2.18,0.15,0.15,1.3849375226499998,0.06,0.06,1.682795,1.9e-06,1.9e-06,0.02946,0.00075,0.00075,3.89,0.18,0.18,0.8205540122856321,,,8.0,11.0,11.0,0.0017345386152680855,0.000176543739441878,0.000176543739441878
43,K2-97 b,K2-97,K2-97,1.0,12.486,4.058771892349353,5.990573742882176,2.372894203390362,7.5,4.0,3.2,0.5869039151812496,1.296990389829722,0.3692792103816383,0.207,0.039,0.038,0.0,1.17,0.19,0.13,4673.0,95.0,93.0,4.14,0.28,0.26,0.328,0.079,0.081,0.549,0.059,0.046,0.549,0.059,0.046,1.1999438018964,0.11,0.11,8.407115,2.3e-05,2.3e-05,0.0854,0.0044,0.0033,4.44,0.38,0.33,0.3177083333333334,0.14,0.1,,,,0.00044801773690057815,8.724383284013714e-05,6.23473085266545e-05
44,HAT-P-41 b,HAT-P-41,HAT-P-41,1.0,11.365,0.011684234992939054,0.08622022722466705,0.010446344195802787,2.2,0.4,0.4,0.005620294805274786,0.0380047856302806,0.005191467021586,0.22,,,1.0,1.42,0.05,0.05,6390.0,100.0,100.0,2.05,0.5,0.5,0.21,,,0.795,0.056,0.091,0.795,0.056,0.091,2.0499075245,0.5,0.5,2.69405,4e-06,4e-06,0.0519797501234999,0.0127919846039423,0.0127096594898404,5.44,0.2,0.13,0.09227956646015,,,22.1,6.0,0.8,0.0005345489853229595,4.2096071676646414e-05,6.401692940522802e-05
45,KELT-2 A b,KELT-2 A,KELT-2,1.0,8.68,0.3454865365657871,0.4717308268137028,0.19642732576516553,3.97,0.01,0.01,0.08693587606201372,0.1146013668033338,0.049922210971239,0.081,,,1.0,1.54,0.28,0.28,6327.0,80.0,80.0,1.93,0.1,0.1,0.0,,,1.527,0.087,0.088,1.527,0.087,0.088,1.3499391015,0.08,0.08,4.11379,1e-05,1e-05,0.05818568332464,0.0035543550808338,0.0035543550808338,6.48,0.21,0.21,0.620637098003353,,,,,,0.0009467319667035741,0.00018038645494073088,0.00018057281629439074
